t	p	V	L	psi	z
0.00152	39.4915	26.8966	0.010649	0.0196303	0.0196303
0.00153	40.0096	27.3833	0.0109204	0.0199354	0.0199354
0.00154	40.5339	27.8764	0.0111967	0.0202444	0.0202444
0.00155	41.0644	28.3759	0.0114779	0.0205575	0.0205575
0.00156	41.6012	28.8819	0.0117642	0.0208747	0.0208747
0.00157	42.1443	29.3946	0.0120556	0.0211961	0.0211961
0.00158	42.6938	29.914	0.0123521	0.0215216	0.0215216
0.00159	43.2497	30.4401	0.0126539	0.0218514	0.0218514
0.0016	43.8121	30.973	0.012961	0.0221855	0.0221855
0.00161	44.381	31.5129	0.0132734	0.0225239	0.0225239
0.00162	44.9566	32.0598	0.0135912	0.0228667	0.0228667
0.00163	45.5388	32.6138	0.0139146	0.0232139	0.0232139
0.00164	46.1277	33.175	0.0142435	0.0235657	0.0235657
0.00165	46.7233	33.7434	0.0145781	0.023922	0.023922
0.00166	47.3258	34.3191	0.0149184	0.0242829	0.0242829
0.00167	47.9351	34.9023	0.0152645	0.0246484	0.0246484
0.00168	48.5513	35.4929	0.0156165	0.0250186	0.0250186
0.00169	49.1745	36.0912	0.0159744	0.0253936	0.0253936
0.0017	49.8047	36.6971	0.0163384	0.0257734	0.0257734
0.00171	50.442	37.3108	0.0167084	0.0261581	0.0261581
0.00172	51.0864	37.9323	0.0170846	0.0265477	0.0265477
0.00173	51.738	38.5618	0.0174671	0.0269422	0.0269422
0.00174	52.3968	39.1993	0.0178559	0.0273418	0.0273418
0.00175	53.0628	39.8448	0.0182511	0.0277465	0.0277465
0.00176	53.7362	40.4986	0.0186528	0.0281563	0.0281563
0.00177	54.4169	41.1607	0.0190611	0.0285713	0.0285713
0.00178	55.105	41.8312	0.019476	0.0289916	0.0289916
0.00179	55.8006	42.5101	0.0198977	0.0294171	0.0294171
0.0018	56.5036	43.1976	0.0203263	0.0298481	0.0298481
0.00181	57.2143	43.8937	0.0207617	0.0302844	0.0302844
0.00182	57.9325	44.5986	0.0212042	0.0307263	0.0307263
0.00183	58.6583	45.3124	0.0216537	0.0311736	0.0311736
0.00184	59.3918	46.035	0.0221104	0.0316266	0.0316266
0.00185	60.1331	46.7667	0.0225744	0.0320853	0.0320853
0.00186	60.8821	47.5076	0.0230458	0.0325496	0.0325496
0.00187	61.6389	48.2576	0.0235246	0.0330198	0.0330198
0.00188	62.4035	49.0169	0.024011	0.0334957	0.0334957
0.00189	63.176	49.7857	0.024505	0.0339776	0.0339776
0.0019	63.9564	50.564	0.0250067	0.0344654	0.0344654
0.00191	64.7448	51.3518	0.0255163	0.0349593	0.0349593
0.00192	65.5411	52.1494	0.0260338	0.0354592	0.0354592
0.00193	66.3455	52.9568	0.0265593	0.0359653	0.0359653
0.00194	67.1579	53.774	0.027093	0.0364776	0.0364776
0.00195	67.9783	54.6013	0.0276348	0.0369961	0.0369961
0.00196	68.8069	55.4387	0.028185	0.037521	0.037521
0.00197	69.6436	56.2862	0.0287437	0.0380523	0.0380523
0.00198	70.4885	57.1441	0.0293108	0.03859	0.03859
0.00199	71.3416	58.0123	0.0298866	0.0391342	0.0391342
0.002	72.2028	58.8911	0.0304711	0.039685	0.039685
0.00201	73.0723	59.7804	0.0310644	0.0402425	0.0402425
0.00202	73.9501	60.6804	0.0316667	0.0408066	0.0408066
0.00203	74.8361	61.5912	0.0322781	0.0413775	0.0413775
0.00204	75.7304	62.513	0.0328986	0.0419553	0.0419553
0.00205	76.633	63.4457	0.0335284	0.0425399	0.0425399
0.00206	77.5439	64.3895	0.0341675	0.0431316	0.0431316
0.00207	78.4632	65.3445	0.0348162	0.0437302	0.0437302
0.00208	79.3908	66.3109	0.0354745	0.0443359	0.0443359
0.00209	80.3267	67.2886	0.0361424	0.0449488	0.0449488
0.0021	81.271	68.2779	0.0368203	0.0455689	0.0455689
0.00211	82.2237	69.2787	0.037508	0.0461962	0.0461962
0.00212	83.1847	70.2913	0.0382059	0.0468309	0.0468309
0.00213	84.1541	71.3157	0.0389139	0.047473	0.047473
0.00214	85.1318	72.3521	0.0396322	0.0481226	0.0481226
0.00215	86.1179	73.4004	0.040361	0.0487797	0.0487797
0.00216	87.1123	74.4609	0.0411003	0.0494445	0.0494445
0.00217	88.115	75.5336	0.0418502	0.0501169	0.0501169
0.00218	89.1261	76.6186	0.042611	0.050797	0.050797
0.00219	90.1455	77.716	0.0433827	0.0514849	0.0514849
0.0022	91.1731	78.826	0.0441654	0.0521806	0.0521806
0.00221	92.2091	79.9486	0.0449592	0.0528843	0.0528843
0.00222	93.2533	81.084	0.0457644	0.053596	0.053596
0.00223	94.3057	82.2322	0.0465809	0.0543157	0.0543157
