t	p	V	L	psi	z
0.00162	83.0172	52.4319	0.0216081	0.0433768	0.0433768
0.00163	84.3871	53.4567	0.0221375	0.0441723	0.0441723
0.00164	85.7773	54.4983	0.0226773	0.0449808	0.0449808
0.00165	87.1878	55.5572	0.0232275	0.0458027	0.0458027
0.00166	88.6188	56.6334	0.0237885	0.0466381	0.0466381
0.00167	90.0707	57.7273	0.0243603	0.0474872	0.0474872
0.00168	91.5436	58.8391	0.0249431	0.0483502	0.0483502
0.00169	93.0376	59.969	0.0255371	0.0492273	0.0492273
0.0017	94.5531	61.1174	0.0261425	0.0501187	0.0501187
0.00171	96.0901	62.2844	0.0267595	0.0510246	0.0510246
0.00172	97.649	63.4704	0.0273883	0.0519452	0.0519452
0.00173	99.2298	64.6756	0.028029	0.0528807	0.0528807
0.00174	100.833	65.9004	0.0286818	0.0538313	0.0538313
0.00175	102.458	67.1448	0.0293471	0.0547973	0.0547973
0.00176	104.106	68.4093	0.0300248	0.0557789	0.0557789
0.00177	105.777	69.6942	0.0307153	0.0567762	0.0567762
0.00178	107.47	70.9996	0.0314188	0.0577895	0.0577895
0.00179	109.187	72.3259	0.0321354	0.058819	0.058819
0.0018	110.927	73.6734	0.0328653	0.0598649	0.0598649
0.00181	112.69	75.0423	0.0336089	0.0609275	0.0609275
0.00182	114.477	76.4329	0.0343663	0.062007	0.062007
0.00183	116.288	77.8456	0.0351376	0.0631035	0.0631035
0.00184	118.123	79.2806	0.0359233	0.0642174	0.0642174
0.00185	119.981	80.7382	0.0367233	0.0653488	0.0653488
0.00186	121.864	82.2187	0.0375381	0.066498	0.066498
0.00187	123.772	83.7224	0.0383678	0.0676652	0.0676652
0.00188	125.703	85.2496	0.0392126	0.0688507	0.0688507
0.00189	127.66	86.8006	0.0400728	0.0700546	0.0700546
0.0019	129.641	88.3757	0.0409487	0.0712772	0.0712772
0.00191	131.647	89.9752	0.0418404	0.0725188	0.0725188
0.00192	133.678	91.5994	0.0427483	0.0737796	0.0737796
0.00193	135.734	93.2487	0.0436725	0.0750598	0.0750598
0.00194	137.815	94.9233	0.0446134	0.0763596	0.0763596
0.00195	139.921	96.6235	0.0455711	0.0776793	0.0776793
0.00196	142.053	98.3496	0.0465459	0.0790192	0.0790192
0.00197	144.21	100.102	0.0475381	0.0803795	0.0803795
0.00198	146.392	101.881	0.048548	0.0817604	0.0817604
0.00199	148.6	103.687	0.0495759	0.0831621	0.0831621
0.002	150.834	105.52	0.0506219	0.0845849	0.0845849
0.00201	153.093	107.38	0.0516863	0.0860291	0.0860291
0.00202	155.377	109.269	0.0527696	0.0874949	0.0874949
0.00203	157.688	111.185	0.0538718	0.0889825	0.0889825
0.00204	160.023	113.13	0.0549934	0.0904922	0.0904922
0.00205	162.385	115.104	0.0561345	0.0920243	0.0920243
0.00206	164.772	117.107	0.0572955	0.0935788	0.0935788
0.00207	167.184	119.139	0.0584767	0.0951562	0.0951562
0.00208	169.622	121.201	0.0596784	0.0967567	0.0967567
0.00209	172.086	123.292	0.0609009	0.0983804	0.0983804
0.0021	174.575	125.415	0.0621444	0.100028	0.100028
0.00211	177.089	127.567	0.0634092	0.101699	0.101699
